"Gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene773",179,1,19,0,534,255
"Gene774",47,33,2,6,1,4
"Gene775",3,261,186,866,27,95
"Gene776",58,16,4,9,0,69
"Gene777",62,474,301,42,9,79
"Gene778",29,79,8,58,20,7
"Gene779",191,15,51,63,2,13
"Gene780",3,26,655,11,1,79
"Gene781",9,193,76,395,2,70
"Gene782",268,2,107,175,3,0
"Gene783",3,139,2,0,722,2
"Gene784",274,30,50,9,247,13
"Gene785",17,11,7,1,11,145
"Gene786",112,156,0,4,505,0
"Gene787",8,79,0,593,100,19
"Gene788",66,371,49,14,116,17
"Gene789",15,243,26,0,4,188
"Gene790",83,1,817,144,0,3
"Gene791",1,21,111,454,3,0
"Gene792",184,1,31,13,111,1
"Gene793",0,35,69,222,96,21
"Gene794",419,25,24,62,0,199
"Gene795",23,7,25,648,20,127
"Gene796",112,567,9,58,392,12
"Gene797",37,0,53,95,272,68
"Gene798",300,0,36,312,4,16
"Gene799",35,32,39,99,19,0
"Gene800",349,376,95,17,1,0
"Gene801",113,277,12,29,52,219
"Gene802",26,280,15,145,74,45
"Gene803",114,123,0,44,24,204
"Gene804",23,197,162,12,28,114
"Gene805",87,172,3,2,0,98
"Gene806",10,97,33,178,125,16
"Gene807",275,34,91,229,56,323
"Gene808",6,91,80,425,413,29
"Gene809",0,3,41,103,424,46
"Gene810",48,6,0,22,42,195
"Gene811",68,337,81,130,56,129
"Gene812",12,8,38,13,3,1
"Gene813",18,19,4,4,306,111
"Gene814",91,186,202,136,86,0
"Gene815",25,119,203,2,285,19
"Gene816",23,125,242,83,0,0
"Gene817",43,75,0,196,189,4
"Gene818",54,102,64,194,6,292
"Gene819",54,98,4,175,88,20
"Gene820",11,38,9,353,45,10
"Gene821",68,213,24,1,150,30
"Gene822",76,240,251,132,32,146
"Gene823",28,97,252,38,7,389
"Gene824",7,156,14,110,37,126
"Gene825",767,54,112,33,74,22
"Gene826",6,41,214,1,1,46
"Gene827",668,263,110,229,44,16
"Gene828",4,44,8,20,9,0
"Gene829",293,0,18,4,72,0
"Gene830",54,113,223,5,303,19
"Gene831",56,39,3,88,142,1
"Gene832",131,77,0,182,0,8
"Gene833",119,136,155,91,272,19
"Gene834",6,984,19,192,0,0
"Gene835",242,171,196,196,6,43
"Gene836",156,302,3,3,0,17
"Gene837",41,114,0,114,3,56
"Gene838",127,43,32,19,82,7
"Gene839",104,117,16,68,80,0
"Gene840",110,88,9,72,218,21
"Gene841",70,130,183,41,308,128
"Gene842",67,2,0,164,31,249
"Gene843",36,26,33,23,65,199
"Gene844",23,32,77,26,102,30
"Gene845",58,0,245,83,30,23
"Gene846",115,1,55,233,92,53
"Gene847",81,3,3,264,3,423
"Gene848",194,2,994,11,205,50
"Gene849",0,13,230,223,126,4
"Gene850",132,44,13,5,2,0
"Gene851",0,61,6,32,24,104
"Gene852",0,234,182,22,110,316
"Gene853",258,2,111,105,24,144
"Gene854",107,114,31,170,80,35
"Gene855",4,131,1,80,20,62
"Gene856",0,201,4,27,17,150
"Gene857",165,227,51,207,27,12
"Gene858",81,120,0,91,67,1
"Gene859",4,20,9,153,32,0
"Gene860",29,5,0,28,0,2
"Gene861",8,228,35,0,267,9
"Gene862",53,61,66,93,9,9
"Gene863",68,32,21,82,97,661
"Gene864",2,522,0,0,39,92
"Gene865",183,220,85,20,396,57
"Gene866",304,34,149,56,31,188
"Gene867",81,99,217,8,48,135
"Gene868",0,82,437,17,0,5
"Gene869",34,42,181,159,19,11
"Gene870",34,0,50,79,0,27
"Gene871",114,193,3,107,22,2
"Gene872",7,3,111,188,456,118
"Gene873",27,0,273,2,23,333
"Gene874",83,179,0,168,302,0
"Gene875",0,237,191,30,33,110
"Gene876",134,260,108,74,107,22
"Gene877",340,12,0,96,47,54
"Gene878",18,61,278,321,506,20
"Gene879",517,347,141,141,0,5
"Gene880",3,38,480,1,136,395
"Gene881",54,20,5,0,0,88
"Gene882",21,65,13,156,1,39
"Gene883",134,0,25,73,104,0
"Gene884",780,9,1,114,12,17
"Gene885",320,33,61,2,4,19
"Gene886",96,1,169,269,19,0
"Gene887",246,84,6,79,130,4
"Gene888",144,127,6,30,23,68
"Gene889",0,28,71,57,109,78
"Gene890",61,0,81,277,10,142
"Gene891",52,319,11,241,247,0
"Gene892",26,20,11,219,253,81
"Gene893",60,35,87,9,181,8
"Gene894",507,26,0,85,57,103
"Gene895",159,206,1,4,121,83
"Gene896",64,0,28,45,167,36
"Gene897",64,122,32,19,75,0
"Gene898",17,16,171,104,20,1
"Gene899",0,31,89,21,70,283
"Gene900",101,93,66,102,4,9
"Gene901",49,62,98,28,74,62
"Gene902",134,13,5,157,476,80
"Gene903",55,0,42,1,0,311
"Gene904",34,28,17,0,86,22
"Gene905",13,4,11,31,49,4
"Gene906",9,284,86,0,74,11
"Gene907",38,206,1,122,156,50
"Gene908",106,0,333,64,608,2
"Gene909",85,318,4,267,13,10
"Gene910",193,99,2,50,245,40
"Gene911",48,2,185,79,86,71
"Gene912",47,52,0,88,6,0
"Gene913",6,77,3,34,8,1
"Gene914",497,48,11,364,174,324
"Gene915",9,21,30,97,15,67
"Gene916",18,22,15,14,132,177
"Gene917",155,530,8,188,19,445
"Gene918",6,27,59,13,77,73
"Gene919",5,29,338,287,159,31
"Gene920",51,3,4,0,96,0
"Gene921",37,11,8,278,53,227
"Gene922",44,98,720,111,156,3
"Gene923",10,0,234,71,2,1
"Gene924",1,11,146,12,13,2
"Gene925",222,0,87,124,1,382
"Gene926",240,268,211,59,78,159
"Gene927",19,161,30,28,0,171
"Gene928",36,295,381,209,2,55
"Gene929",93,26,66,0,21,4
"Gene930",0,95,79,105,7,580
"Gene931",125,0,24,171,45,112
"Gene932",107,20,34,369,3,128
"Gene933",176,37,100,68,345,0
"Gene934",456,30,12,236,11,153
"Gene935",88,1,89,153,53,79
"Gene936",68,298,0,6,490,187
"Gene937",112,32,90,616,114,8
"Gene938",31,8,76,122,51,2
"Gene939",155,136,495,0,207,58
"Gene940",33,20,455,535,2,109
"Gene941",108,153,8,0,197,128
"Gene942",62,15,42,40,65,0
"Gene943",46,231,1,24,20,17
"Gene944",24,33,6,148,100,182
"Gene945",0,30,2,189,23,345
"Gene946",30,214,16,68,109,2
"Gene947",328,1020,25,2,7,39
"Gene948",20,252,8,0,312,15
"Gene949",45,43,10,101,0,218
"Gene950",152,104,139,90,19,93
"Gene951",1,5,26,214,22,81
"Gene952",0,19,0,156,310,198
"Gene953",13,34,14,1,297,9
"Gene954",31,25,266,121,334,70
"Gene955",0,55,3,30,22,45
"Gene956",39,22,2,24,18,78
"Gene957",0,0,13,0,68,132
"Gene958",110,7,202,49,119,5
"Gene959",27,5,234,20,47,184
"Gene960",0,91,232,13,155,32
"Gene961",172,350,22,74,297,7
"Gene962",88,0,119,360,44,7
"Gene963",1,50,164,48,39,7
"Gene964",126,9,574,385,0,22
"Gene965",0,24,29,159,105,312
"Gene966",0,165,85,5,655,55
"Gene967",737,44,218,0,14,1
"Gene968",274,20,31,33,75,225
"Gene969",49,57,117,36,8,265
"Gene970",264,9,63,37,187,0
"Gene971",0,161,389,34,48,0
"Gene972",94,80,14,57,40,718
"Gene973",82,30,86,10,20,50
"Gene974",43,20,58,55,8,4
"Gene975",9,73,93,86,112,208
"Gene976",9,80,1,4,150,12
"Gene977",18,0,146,79,154,12
"Gene978",4,5,7,397,4,53
"Gene979",250,1,29,147,140,26
"Gene980",0,12,6,505,16,93
"Gene981",4,128,101,158,88,90
"Gene982",5,25,76,0,1,43
"Gene983",86,58,75,96,61,0
"Gene984",12,0,331,9,1,25
"Gene985",12,191,1,111,26,20
"Gene986",31,6,77,6,33,14
"Gene987",9,204,232,83,13,31
"Gene988",313,6,2,80,0,0
"Gene989",124,32,2,4,0,40
"Gene990",269,18,67,171,30,102
"Gene991",29,5,40,736,16,7
"Gene992",80,4,58,236,104,38
"Gene993",172,162,56,23,376,164
"Gene994",13,187,20,68,83,0
"Gene995",7,230,0,51,70,0
"Gene996",5,11,289,712,75,177
"Gene997",46,0,0,287,7,8
"Gene998",725,97,0,7,0,21
"Gene999",154,269,260,24,3,14
"Gene1000",21,7,15,193,5,0
